method,yoochoose_1_64_precision@20,yoochoose_1_64_mrr@20,diginetica_precision@20,diginetica_mrr@20
POP,6.71,1.65,0.89,0.2
S-POP,30.44,18.35,21.06,13.68
Item-KNN,51.6,21.81,35.75,11.57
BPR-MF,31.31,12.08,5.24,1.98
FPMC,45.62,15.01,26.53,6.95
GRU4REC,60.64,22.89,29.45,8.33
NARM,68.32,28.63,49.7,16.17
STAMP,68.74,29.67,45.64,14.32
SR-GNN,70.57,30.94,50.73,17.59
TAGNN,71.02,31.12,51.31,18.03
GAT-SR-GNN,68.72875594833447,30.354838888394973,50.62933385914752,16.725053249420434
GAT-TAGNN,,,,
